#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
-7459142042205848008,-0.046875,0.166016,-0.441406,-2.03906,1.05859,-0.0117188
-7459142042195162008,-0.046875,0.166016,-0.441406,-2.73828,1.09766,0.0273438
-7459142042184634008,-0.046875,0.166016,-0.441406,-3.77344,1.08203,0.0664062
-8151817187800243008,-0.046875,0.166016,-0.441406,-3.77344,1.08203,0.0664062
-8151817187790427008,-0.046875,0.166016,-0.441406,-0.914062,-1.17578,-0.855469
-8259272974556501008,-0.046875,0.166016,-0.441406,-0.914062,-1.17578,-0.855469
-8259272974546961008,-0.046875,0.166016,-0.441406,-2.35547,0.0546875,-0.347656
-8259272974537559008,-0.046875,0.166016,-0.441406,-0.332031,-1.04688,1.25391
-8259272974528797008,-0.046875,0.166016,-0.441406,-1.32812,-0.824219,-1.31641
-8175190399767025008,-0.046875,0.166016,-0.441406,-1.32812,-0.824219,-1.31641
-8175190399759773008,-0.046875,0.166016,-0.441406,1.19922,-0.320312,0.449219
-8175190399747956008,-0.046875,0.166016,-0.441406,1.3125,-0.550781,-0.472656
-8175190399739632008,-0.046875,0.166016,-0.441406,2.73047,-0.128906,-0.0117188
-8175190399728293008,-0.046875,0.166016,-0.441406,0.125,0.285156,0.101562
-8175190399716566008,-0.046875,0.166016,-0.441406,1.39062,-0.0585938,0.0273438
-8175190399705274008,-0.046875,0.166016,-0.441406,2.5,-0.519531,-0.164062
-8175190399696262008,-0.046875,0.166016,-0.441406,2.34766,-0.597656,-0.0117188
-8175190399684562008,-0.046875,0.166016,-0.441406,1.19922,-0.222656,-0.0507812
-8175190399675568008,-0.046875,0.166016,-0.441406,-0.0664062,-0.0742188,0.101562
-8401290363028384008,-0.046875,0.166016,-0.441406,-0.0664062,-0.0742188,0.101562
-8414656301243737008,-0.046875,0.166016,-0.441406,-0.0664062,-0.0742188,0.101562
-8414656301236077008,-0.046875,0.166016,-0.441406,-4.01172,0.199219,0.640625
-8414656301227920008,-0.046875,0.166016,-0.441406,-0.601562,-0.289062,-0.0507812
-8414656301219104008,-0.046875,0.166016,-0.441406,-1.90234,-0.0976562,-0.242188
